State_city,Mapping
"LA,MONROE",224
"LA,NEW ORLEANS",225
"LA,SHREVEPORT",226
"LA,THIBODAUX",227
"ME,AUGUSTA",228
"ME,BANGOR",229
"ME,BATH",230
"ME,HOULTON",231
"ME,KITTERY",232
"ME,LEWISTON",233
"ME,MACHIAS",234
"ME,PORTLAND",235
"ME,ROCKLAND",236
"ME,WATERVILLE",237
"MD,ANNAPOLIS",238
"MD,BALTIMORE",239
"MD,COLLEGE PARK",240
"MD,CUMBERLAND",241
"MD,EASTON",242
"MD,ELKTON",243
"MD,HAGERSTOWN",244
"MD,SALISBURY",245
"MD,SILVER SPRING",246
"MD,WALDORF",247
"MA,BOSTON",248
"MA,BROCKTON",249
"MA,BUZZARDS BAY",250
"MA,FITCHBURG",251
"MA,FRAMINGHAM",252
"MA,GREENFIELD",253
"MA,HYANNIS",254
"MA,LAWRENCE",255
"MA,LOWELL",256
"MA,NEW BEDFORD",257
"MA,PITTSFIELD",258
"MA,SPRINGFIELD",259
"MA,WORCESTER",260
"MI,ANN ARBOR",261
"MI,BATTLE CREEK",262
"MI,BAY CITY",263
"MI,DETROIT",264
"MI,FLINT",265
"MI,GAYLORD",266
"MI,GRAND RAPIDS",267
"MI,IRON MOUNTAIN",268
"MI,JACKSON",269
"MI,KALAMAZOO",270
"MI,LANSING",271
"MI,MUSKEGON",272
"MI,ROYAL OAK",273
"MI,SAGINAW",274
"MI,TRAVERSE CITY",275
"MN,BEMIDJI",276
"MN,BRAINERD",277
"MN,DETROIT LAKES",278
"MN,DULUTH",279
"MN,MANKATO",280
"MN,MINNEAPOLIS",281
"MN,ROCHESTER",282
"MN,SAINT PAUL",283
"MN,ST. CLOUD",284
"MN,THIEF RIVER FALLS",285
"MN,WILLMAR",286
"MN,WINDOM",287
"MS,BILOXI",288
"MS,CLARKSDALE",289
"MS,COLUMBUS",290
"MS,GREENVILLE",291
"MS,GREENWOOD",292
"MS,JACKSON",293
"MS,LAUREL",294
"MS,MCCOMB",295
"MS,MERIDIAN",296
"MS,TUPELO",297
