state_city,mean_value
0,154.02934669304432
1,157.71657845270096
2,154.08005484755074
3,154.36144969733618
4,156.41799476171383
5,153.37857416085546
6,156.95054840978253
7,156.19617072737907
8,155.50651407501857
9,155.63061278746494
10,157.28192180034046
11,155.5700977660057
12,154.6613638604263
13,155.92754411793703
14,179.36572008360224
15,178.2840033454048
16,177.94496901064088
17,183.41812351707864
18,155.58745828102712
19,158.49711493338768
20,157.62767287330183
21,155.55205055570525
22,158.0477801694392
23,160.46793038403143
24,157.71140677888124
25,157.8181020578512
26,157.91310205785118
27,149.74672866729324
28,152.27745828102715
29,149.702544117937
30,153.17730806643488
31,150.19226514797992
32,151.45778016943916
33,152.27445398918167
34,154.72973295913874
35,154.72310205785118
36,149.48198617802285
37,153.03771579175677
38,151.95280162866663
39,177.1716857488383
40,180.06911064154218
41,179.04799476171385
42,186.47767287330186
43,181.15640677888123
44,180.88072008360226
45,177.43072008360227
46,178.259239396907
47,182.03290892480396
48,180.23104197201428
49,180.53479733682116
50,175.97318789476105
51,186.66833810935333
52,178.8760848904692
53,176.7275655771645
54,185.05767287330184
55,175.5663638604263
56,182.46299476171387
57,183.09239390334474
58,179.99546257287264
59,179.7441535599971
60,183.70926085613445
61,177.4688531308126
62,176.91694325956792
63,191.7596042037739
64,189.558552701628
65,177.81005484755076
66,187.0041750192246
67,184.7319432595679
68,178.15685742265805
69,178.8369647187954
70,185.4883595685808
71,186.6234883239456
72,181.5509561351044
73,181.60503338832328
74,183.05340248703573
75,176.96445398918166
76,159.0190891823147
77,157.0302265213705
78,157.0862351050615
79,160.11713639261512
80,158.47093467587695
81,159.6479518432589
82,157.37632094197136
83,161.10885313081255
84,158.34932523381684
85,160.13095613510438
86,158.034561285319
87,157.97355270162802
88,159.04447544840912
89,158.9875655771645
90,173.65799476171384
91,174.7941535599971
92,171.92649261579112
93,173.78981879604862
94,173.84653553424604
95,170.89093467587696
96,173.90220077029755
97,174.0076943325293
98,173.90220077029755
99,173.2211063496967
100,164.2710848904692
101,172.48190034111298
102,171.44411064154218
103,172.01179304497566
104,156.3360205127868
105,155.85327373167092
106,155.2669432595679
107,156.52445398918167
108,156.18059132823745
109,154.74820935398853
110,158.9721578518426
111,156.55874583467522
112,157.7324368217997
113,155.9452265213705
114,157.13046257287266
115,155.5652908990529
116,155.11576300205718
117,156.75610634969667
118,156.66720077029754
119,153.46818789476106
120,157.64617072737906
121,156.29666428961087
122,160.09861707931043
123,157.2326299548469
124,158.9084239462632
125,154.68872437544775
126,153.40685742265805
127,158.39745828102716
128,158.97310205785118
129,155.40870291622025
130,158.60278016943917
131,155.53029089905291
132,179.8656557059199
133,184.45119218660656
134,173.0376514140744
135,162.15314497630612
136,164.18065570591983
137,160.1119432595679
138,165.13887459004002
139,162.1952265213705
140,160.12020506214304
141,167.7964926157911
142,164.74511922523317
143,164.76175012652072
144,169.82391750849496
145,184.8442179376795
146,168.48041965441772
147,167.68110634969668
148,166.65833810935334
149,167.17612780892415
150,182.0206986243748
151,175.71187888188553
152,174.06780162866664
153,180.87872437544775
154,168.66898188617736
155,167.2612351050615
156,164.5276299548469
157,175.9493681522718
158,180.98421793767955
159,167.4847544183662
160,158.9453552767353
161,160.87318789476106
162,158.7840248046323
163,160.01314497630614
164,158.7488316715851
165,168.0819647187954
166,161.67887459004004
167,156.72915355999712
168,159.29516214368812
169,155.65357416085544
170,159.76048403210012
171,155.37726514797993
172,161.39675012652071
173,160.38335956858077
174,157.97408918231469
175,155.51863853853789
176,154.93531235828038
177,159.93971149991128
178,159.8372436887525
179,156.41561278746494
180,162.31282308789412
181,152.55657845270096
182,163.4579518432589
183,157.47280162866664
184,153.02451836686407
185,153.41138531965373
186,153.93026943982545
187,155.15726514797996
188,149.42050549132756
189,158.2183595685808
190,149.9714926157911
191,158.61205055570525
192,153.41638531965376
193,153.53177158574817
194,155.58745828102712
195,154.23896042694992
196,154.02797330248637
197,152.7988316715851
198,151.00089175742198
199,153.97239390334477
200,165.18333810935334
201,152.55273725098425
202,154.67563424669237
203,158.67677158574818
204,156.57230806643486
205,158.4692823153619
206,157.94780162866664
207,154.83305913939625
208,153.85793038403145
209,158.0521793110701
210,152.83091321664946
211,157.38801622094132
212,154.7851621436881
213,155.3388316715851
214,159.5130376801688
215,159.30202909647778
216,159.66919647845202
217,155.63305913939627
218,157.5892823153619
219,154.07479733682115
220,155.37177158574818
221,156.5264926157911
222,150.32608489046922
223,153.76833810935335
224,154.97112780892417
225,155.42853124240054
226,156.94724368875245
227,156.1708273797396
228,152.04271579175676
229,162.57404626385977
230,159.81565570591985
231,159.01840248703576
232,158.70756557716447
233,158.32061278746494
234,161.83048403210012
235,158.65591321664948
236,164.2710848904692
237,158.3451621436881
238,158.96659991192843
239,163.34312351707865
240,163.44675012652073
241,158.43114926815161
242,160.2318145042031
243,155.16844540549067
