state_city,mean_value
0,147.27347392638038
1,151.4269052989294
2,147.2369052989294
3,148.4225915734392
4,149.58416020089015
5,146.58278765187058
6,150.7726896126549
7,150.58170922049803
8,149.7124935342235
9,148.7162190244196
10,150.3996503969686
11,148.69827784794902
12,147.89876804402743
13,149.83670922049802
14,174.6748464754
15,173.61984647539998
16,172.3204347106941
17,177.93445431853723
18,149.1403366714784
19,151.6612190244196
20,150.3110229459882
21,148.8269052989294
22,150.88778765187055
23,152.8668072597137
24,151.10533667147843
25,150.40739549500785
26,150.91033667147843
27,142.8853366714784
28,146.0589641224588
29,142.96416020089018
30,145.45063078912546
31,143.34082686755684
32,145.26690529892937
33,145.48945431853724
34,147.473277847949
35,148.65592490677253
36,142.7655327499098
37,146.34376804402743
38,145.33229745579212
39,171.30788569108626
40,172.9492582401059
41,172.07523863226274
42,179.87994451461566
43,174.63445431853725
44,173.62455235775292
45,169.18984647539997
46,169.96523863226275
47,173.86092490677254
48,173.68219941657645
49,174.1423954950078
50,169.07886608324313
51,180.29572882834114
52,171.82690529892938
53,169.9848464754
54,178.4156307891255
55,169.7087680440274
56,175.52014059304707
57,176.69229745579213
58,173.20200333814506
59,173.83190529892937
60,176.2833758871647
61,169.70612098520388
62,171.0624935342235
63,185.78945431853722
64,182.75357196559605
65,170.78435627932157
66,179.7311209852039
67,178.2895523577529
68,171.30955235775292
69,172.0061209852039
70,179.0953366714784
71,179.58435627932158
72,174.90719941657645
73,175.3337680440274
74,175.67043471069408
75,170.96847392638037
76,151.15092490677256
77,150.6575915734392
78,150.18210137736077
79,153.32082686755683
80,149.9940621616745
81,151.06925824010585
82,148.68445431853723
83,149.9319052989294
84,148.91788569108627
85,152.10641510285097
86,149.87131706363527
87,149.3160229459882
88,151.8399445146157
89,150.94376804402742
90,166.79857196559607
91,167.96602294598824
92,165.19072882834115
93,167.03033667147844
94,167.11631706363528
95,164.25661118128232
96,167.09680725971373
97,167.28465039696857
98,167.11023863226274
99,166.4368072597137
100,151.05719941657645
101,165.57357196559605
102,164.4594543185372
103,164.631709220498
104,149.41278765187056
105,148.7269052989294
106,148.7269052989294
107,149.38376804402742
108,149.2039641224588
109,148.4104347106941
110,152.09014059304704
111,150.1789641224588
112,150.50445431853723
113,148.52435627932155
114,149.81406216167449
115,148.64817980873332
116,149.4870033381451
117,149.8139641224588
118,150.00945431853722
119,146.6554347106941
120,150.1712190244196
121,150.05357196559606
122,152.9791602008902
123,150.91935627932156
124,151.50710137736075
125,148.30445431853724
126,147.0918072597137
127,150.84484647539998
128,151.7475915734392
129,149.01445431853722
130,151.0253366714784
131,148.38572882834114
132,174.28445431853723
133,177.51847392638035
134,168.10102294598823
135,155.94219941657644
136,157.50161118128233
137,153.4753366714784
138,158.76867000481175
139,155.58592490677253
140,154.02327784794903
141,161.7033758871647
142,158.86317980873332
143,158.92504255383136
144,163.56131706363527
145,178.30357196559606
146,162.33210137736074
147,161.33876804402743
148,160.7224935342235
149,161.1098464754
