State,Quality,kitchen,bath_half,bath_full,entry_exit,heating,electric,garage_attached_1_car,garage_detached_1_car,garage_attached_2_car,garage_detached_2_car,fireplace
NV,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
NH,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
NH,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
NH,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
NJ,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
NJ,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
NJ,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
NM,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
NM,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
NM,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
NY,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
NY,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
NY,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
NC,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
NC,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
NC,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
ND,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
ND,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
ND,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
OH,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
OH,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
OH,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
OK,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
OK,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
OK,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
OR,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
OR,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
OR,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
PA,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
PA,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
PA,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
PR,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
PR,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
PR,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
RI,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
RI,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
RI,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
SC,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
SC,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
SC,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
SD,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
SD,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
SD,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
TN,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
TN,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
TN,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
TX,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
TX,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
TX,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
UT,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
UT,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
UT,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
VT,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
VT,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
VT,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
VA,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
VA,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
VA,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
WA,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
WA,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
WA,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
WV,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
WV,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
WV,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
WI,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
WI,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
WI,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
WY,0,11823,5307,9693,2368,1910,2515,21350,24902,0,0,11377
WY,1,26213,6368,11632,2368,8026,2515,0,0,38647,44341,11248
WY,2,35510,7641,13959,3010,8026,13715,0,0,43340,49464,16835
