,Unnamed: 0,zpid,price,bedrooms,bathrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,half_bathroom,lot_area,home_type
19,19,2055910879,327000,5,3.0,2549,36.03937,"""8521 S 112th East Ave""","""74133""",https://www.zillow.com/homedetails/8521-S-112th-East-Ave-Tulsa-OK-74133/2055910879_zpid/,-95.85144,1.0,7405.0, SingleFamily
20,20,22125430,200000,5,2.0,1452,36.20046,"""3150 N Iroquois Ave""","""74106""",https://www.zillow.com/homedetails/3150-N-Iroquois-Ave-Tulsa-OK-74106/22125430_zpid/,-95.98336,1.0,6621.12, SingleFamily
21,21,22227536,530000,5,3.0,3682,36.056778,"""7401 S Sleepy Hollow Dr""","""74136""",https://www.zillow.com/homedetails/7401-S-Sleepy-Hollow-Dr-Tulsa-OK-74136/22227536_zpid/,-95.9324,0.0,15245.999999999998, SingleFamily
22,22,89223285,425000,5,4.0,3574,36.094677,"""4819 S 165th Ave E""","""74134""",https://www.zillow.com/homedetails/4819-S-165th-Ave-E-Tulsa-OK-74134/89223285_zpid/,-95.79354,1.0,8668.44, SingleFamily
23,23,120735480,849000,5,5.0,4680,36.003212,"""5930 E 110th Pl""","""74137""",https://www.zillow.com/homedetails/5930-E-110th-Pl-Tulsa-OK-74137/120735480_zpid/,-95.90842,1.0,13634.28, SingleFamily
24,24,22126047,135000,5,2.0,1448,36.153027,"""314 S 47th Ave W""","""74127""",https://www.zillow.com/homedetails/314-S-47th-Ave-W-Tulsa-OK-74127/22126047_zpid/,-96.04531,0.0,8581.32, SingleFamily
25,25,22169784,65000,5,4.0,2542,36.08575,"""7518 E 54th St S""","""74145""",https://www.zillow.com/homedetails/7518-E-54th-St-S-Tulsa-OK-74145/22169784_zpid/,-95.8922,2.0,10454.0, SingleFamily
26,26,63048509,575000,5,4.0,4151,36.011642,"""8745 E 105th Pl""","""74133""",https://www.zillow.com/homedetails/8745-E-105th-Pl-Tulsa-OK-74133/63048509_zpid/,-95.87846,1.0,11717.0, SingleFamily
27,27,89352615,650000,5,5.0,4547,36.007526,"""9409 E 108th St S""","""74133""",https://www.zillow.com/homedetails/9409-E-108th-St-S-Tulsa-OK-74133/89352615_zpid/,-95.87252,1.0,13416.48, SingleFamily
28,28,89352101,735000,5,5.0,4673,36.00984,"""9444 E 106th Pl S""","""74133""",https://www.zillow.com/homedetails/9444-E-106th-Pl-S-Tulsa-OK-74133/89352101_zpid/,-95.87203,1.0,10236.6, SingleFamily
29,29,22134916,314000,5,4.0,4059,36.07388,"""4105 E 62nd St S""","""74136""",https://www.zillow.com/homedetails/4105-E-62nd-St-S-Tulsa-OK-74136/22134916_zpid/,-95.93032,1.0,11717.639999999998, SingleFamily
30,30,22218998,590000,5,4.0,3671,36.016277,"""7508 E 102nd St S""","""74133""",https://www.zillow.com/homedetails/7508-E-102nd-St-S-Tulsa-OK-74133/22218998_zpid/,-95.89455,0.0,24350.04, SingleFamily
31,31,22235374,940000,5,6.0,5367,36.047325,"""5409 E 80th Pl""","""74136""",https://www.zillow.com/homedetails/5409-E-80th-Pl-Tulsa-OK-74136/22235374_zpid/,-95.91592,2.0,51444.36, SingleFamily
32,32,89354963,1650000,5,7.0,0,35.997177,"""3903 E 115th Pl""","""74137""",https://www.zillow.com/homedetails/3903-E-115th-Pl-Tulsa-OK-74137/89354963_zpid/,-95.93677,1.0,31755.24, SingleFamily
33,33,22124997,625000,5,5.0,4201,36.11218,"""3533 S Trenton Ave""","""74105""",https://www.zillow.com/homedetails/3533-S-Trenton-Ave-Tulsa-OK-74105/22124997_zpid/,-95.96895,1.0,13024.44, SingleFamily
34,34,22219550,440000,5,4.0,3828,36.014423,"""10145 S Hudson Ave""","""74137""",https://www.zillow.com/homedetails/10145-S-Hudson-Ave-Tulsa-OK-74137/22219550_zpid/,-95.91346,1.0,22651.2, SingleFamily
35,35,70395996,489900,5,4.0,3565,36.051064,"""7737 S Frisco Ave""","""74132""",https://www.zillow.com/homedetails/7737-S-Frisco-Ave-Tulsa-OK-74132/70395996_zpid/,-95.994125,1.0,7927.92, SingleFamily
36,36,63379370,325000,5,3.0,2363,36.091076,"""18708 E 50th St S""","""74134""",https://www.zillow.com/homedetails/18708-E-50th-St-S-Tulsa-OK-74134/63379370_zpid/,-95.76854,0.0,9626.76, SingleFamily
37,37,81384532,923200,5,6.0,6829,36.038174,"""6322 E 85th Ct""","""74137""",https://www.zillow.com/homedetails/6322-E-85th-Ct-Tulsa-OK-74137/81384532_zpid/,-95.90552,1.0,10846.44, SingleFamily
38,38,22241130,415000,5,4.0,3118,36.05219,"""9403 E 77th St""","""74133""",https://www.zillow.com/homedetails/9403-E-77th-St-Tulsa-OK-74133/22241130_zpid/,-95.87077,1.0,12675.96, SingleFamily
39,39,58609138,500000,5,4.0,4142,36.00459,"""5717 E 110th St""","""74137""",https://www.zillow.com/homedetails/5717-E-110th-St-Tulsa-OK-74137/58609138_zpid/,-95.91171,1.0,12719.520000000002, SingleFamily
0,0,124774140,680000,5,5.0,3908,36.098274,"""17094 E 45th St S""","""74134""",https://www.zillow.com/homedetails/17094-E-45th-St-S-Tulsa-OK-74134/124774140_zpid/,-95.785835,2.0,9060.48, SingleFamily
1,1,22219665,400000,5,4.0,2672,36.032684,"""8952 S Florence Pl""","""74137""",https://www.zillow.com/homedetails/8952-S-Florence-Pl-Tulsa-OK-74137/22219665_zpid/,-95.94329,0.0,16465.68, SingleFamily
2,2,22226955,366362,5,3.0,3181,36.02228,"""5008 E 97th Pl S""","""74137""",https://www.zillow.com/homedetails/5008-E-97th-Pl-S-Tulsa-OK-74137/22226955_zpid/,-95.92101,1.0,8537.76, SingleFamily
3,3,22277016,548500,5,5.0,4289,36.081142,"""2448 E 56th Pl""","""74105""",https://www.zillow.com/homedetails/2448-E-56th-Pl-Tulsa-OK-74105/22277016_zpid/,-95.95621,1.0,19384.2, SingleFamily
4,4,22198122,340000,5,3.0,3804,36.10608,"""6115 W 40th St""","""74107""",https://www.zillow.com/homedetails/6115-W-40th-St-Tulsa-OK-74107/22198122_zpid/,-96.061424,0.0,23217.48, SingleFamily
5,5,89344347,545000,5,4.0,4570,36.052746,"""669 W 77th St""","""74132""",https://www.zillow.com/homedetails/669-W-77th-St-Tulsa-OK-74132/89344347_zpid/,-96.001144,0.0,8668.44, SingleFamily
6,6,22168240,1600000,5,6.0,5510,36.11977,"""2462 E 30th St""","""74114""",https://www.zillow.com/homedetails/2462-E-30th-St-Tulsa-OK-74114/22168240_zpid/,-95.95538,2.0,13024.44, SingleFamily
7,7,22149939,1450000,5,5.0,5062,36.1082,"""3739 S Atlanta Pl""","""74105""",https://www.zillow.com/homedetails/3739-S-Atlanta-Pl-Tulsa-OK-74105/22149939_zpid/,-95.95496,1.0,33062.04, SingleFamily
8,8,22229153,1765367,5,9.0,10977,36.000557,"""11147 S Quebec Ave""","""74137""",https://www.zillow.com/homedetails/11147-S-Quebec-Ave-Tulsa-OK-74137/22229153_zpid/,-95.91195,2.0,132248.16, SingleFamily
9,9,22120556,630000,5,5.0,3841,36.081406,"""2987 E 56th Ct""","""74105""",https://www.zillow.com/homedetails/2987-E-56th-Ct-Tulsa-OK-74105/22120556_zpid/,-95.94241,1.0,7535.88, SingleFamily
10,10,295334967,100000,5,5.0,3971,36.102795,"""4216 S 168th Ave E""","""74134""",https://www.zillow.com/homedetails/4216-S-168th-Ave-E-Tulsa-OK-74134/295334967_zpid/,-95.7873,1.0,8363.52, SingleFamily
11,11,89339361,617000,5,4.0,4549,35.99,"""12013 S Pittsburg Ave""","""74137""",https://www.zillow.com/homedetails/12013-S-Pittsburg-Ave-Tulsa-OK-74137/89339361_zpid/,-95.927475,0.0,14984.64, SingleFamily
12,12,22120361,115000,5,5.0,1624,36.16193,"""61 N Birmingham Ave""","""74110""",https://www.zillow.com/homedetails/61-N-Birmingham-Ave-Tulsa-OK-74110/22120361_zpid/,-95.95356,0.0,6882.48, SingleFamily
13,13,2056246752,730000,5,4.0,4434,36.0086,"""10732 S 95 E""","""74133""",https://www.zillow.com/homedetails/10732-S-95-E-Tulsa-OK-74133/2056246752_zpid/,-95.87113,0.0,14941.079999999998, SingleFamily
14,14,124774564,599000,5,5.0,4530,36.09822,"""4509 S 172nd Ave E""","""74134""",https://www.zillow.com/homedetails/4509-S-172nd-Ave-E-Tulsa-OK-74134/124774564_zpid/,-95.78532,1.0,14505.0, SingleFamily
