,zpid,price,bedrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,full_bathroom,half_bathroom,quarter_bathroom,three_quarter_bathroom,year_built,lot_area,stories,home_type,full_address
0,22114515,246000,4,1532,36.155727,2637 E 4th St,74104,https://www.zillow.com/homedetails/2637-E-4th-St-Tulsa-OK-74104/22114515_zpid/,-95.95213,3.0,0.0,0.0,0.0,1948.0,7492.32,1.0,Duplex,"2637 E 4th St,Tulsa,OK"
1,22120268,10000,2,924,36.164566,519 N Hudson Ave,74115,https://www.zillow.com/homedetails/519-N-Hudson-Ave-Tulsa-OK-74115/22120268_zpid/,-95.91316,0.0,0.0,0.0,0.0,1935.0,12545.28,1.0,Duplex,"519 N Hudson Ave,Tulsa,OK"
2,22144917,255000,2,2185,36.127705,2420 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2420-S-83rd-East-Ave-Tulsa-OK-74129/22144917_zpid/,-95.88521,1.0,0.0,0.0,0.0,1969.0,10585.08,1.0,Duplex,"2420 S 83rd East Ave,Tulsa,OK"
3,22144918,255000,4,2185,36.12746,2426 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2426-S-83rd-East-Ave-Tulsa-OK-74129/22144918_zpid/,-95.885216,1.0,0.0,0.0,0.0,1969.0,12545.28,1.0,Duplex,"2426 S 83rd East Ave,Tulsa,OK"
4,401750019,270000,2,2296,36.05864,7219 S 66th East Ave #7219/7221,74133,https://www.zillow.com/homedetails/7219-S-66th-East-Ave-7219-7221-Tulsa-OK-74133/401750019_zpid/,-95.90331,4.0,0.0,0.0,0.0,1970.0,9191.16,1.0,Duplex,"7219 S 66th East Ave #7219/7221,Tulsa,OK"
5,22108907,60000,4,968,36.139286,11006 E 16th St,74128,https://www.zillow.com/homedetails/11006-E-16th-St-Tulsa-OK-74128/22108907_zpid/,-95.85328,1.0,0.0,0.0,0.0,1977.0,10454.4,1.0,Duplex,"11006 E 16th St,Tulsa,OK"
6,22101277,325000,6,2298,36.174152,1324 N Denver Ave,74106,https://www.zillow.com/homedetails/1324-N-Denver-Ave-Tulsa-OK-74106/22101277_zpid/,-95.999725,4.0,0.0,0.0,0.0,1939.0,20168.28,1.0,Duplex,"1324 N Denver Ave,Tulsa,OK"
7,401749865,370000,2,3120,36.062332,6918 S 78th East Ave #6918/6920,74133,https://www.zillow.com/homedetails/6918-S-78th-East-Ave-6918-6920-Tulsa-OK-74133/401749865_zpid/,-95.890625,4.0,2.0,0.0,0.0,1983.0,34543.08,2.0,Duplex,"6918 S 78th East Ave #6918/6920,Tulsa,OK"
8,22150195,365000,6,1944,36.11457,1345 E 34th St,74105,https://www.zillow.com/homedetails/1345-E-34th-St-Tulsa-OK-74105/22150195_zpid/,-95.97377,1.0,0.0,0.0,0.0,1925.0,6185.52,1.0,Duplex,"1345 E 34th St,Tulsa,OK"
9,2078731212,299900,8,2910,36.06779,1903 E 66th Pl,74136,https://www.zillow.com/homedetails/1903-E-66th-Pl-Tulsa-OK-74136/2078731212_zpid/,-95.96399,4.0,0.0,0.0,0.0,1980.0,17511.12,1.0,Duplex,"1903 E 66th Pl,Tulsa,OK"
10,22164293,513500,3,4334,36.063366,6829 S 78th East Ave,74133,https://www.zillow.com/homedetails/6829-S-78th-East-Ave-Tulsa-OK-74133/22164293_zpid/,-95.890015,4.0,2.0,0.0,0.0,1982.0,27007.2,2.0,Duplex,"6829 S 78th East Ave,Tulsa,OK"
11,22135096,104000,5,1221,36.17583,1420 N Boston Ave,74106,https://www.zillow.com/homedetails/1420-N-Boston-Ave-Tulsa-OK-74106/22135096_zpid/,-95.99607,0.0,0.0,0.0,0.0,1940.0,8842.68,1.0,Duplex,"1420 N Boston Ave,Tulsa,OK"
12,22112038,235000,3,2578,36.068344,1906 E 66th St S,74136,https://www.zillow.com/homedetails/1906-E-66th-St-S-Tulsa-OK-74136/22112038_zpid/,-95.963715,4.0,0.0,0.0,0.0,1980.0,7753.68,1.0,Duplex,"1906 E 66th St S,Tulsa,OK"
14,22174478,275000,2,1720,36.137108,3615 E 17th St,74112,https://www.zillow.com/homedetails/3615-E-17th-St-Tulsa-OK-74112/22174478_zpid/,-95.93618,2.0,0.0,0.0,0.0,1950.0,58413.96,1.0,Duplex,"3615 E 17th St,Tulsa,OK"
15,22109002,89000,5,959,36.140835,11052 E 14th Ct S,74128,https://www.zillow.com/homedetails/11052-E-14th-Ct-S-Tulsa-OK-74128/22109002_zpid/,-95.85216,1.0,0.0,0.0,0.0,1982.0,9016.92,1.0,Duplex,"11052 E 14th Ct S,Tulsa,OK"
16,22112058,267500,5,2578,36.0689,1809 E 66th St S,74136,https://www.zillow.com/homedetails/1809-E-66th-St-S-Tulsa-OK-74136/22112058_zpid/,-95.96466,4.0,0.0,0.0,0.0,1980.0,3789.72,1.0,Duplex,"1809 E 66th St S,Tulsa,OK"
17,22112060,267500,2,2578,36.068844,1729 E 66th St S,74136,https://www.zillow.com/homedetails/1729-E-66th-St-S-Tulsa-OK-74136/22112060_zpid/,-95.96521,4.0,0.0,0.0,0.0,1980.0,10497.96,1.0,Duplex,"1729 E 66th St S,Tulsa,OK"
18,22144922,250000,6,2185,36.127506,2425 S 83rd East Ave,74129,https://www.zillow.com/homedetails/2425-S-83rd-East-Ave-Tulsa-OK-74129/22144922_zpid/,-95.88462,1.0,0.0,0.0,0.0,1969.0,10280.16,1.0,Duplex,"2425 S 83rd East Ave,Tulsa,OK"
19,22131416,345000,3,2784,36.059444,6601 E 72nd Pl S,74133,https://www.zillow.com/homedetails/6601-E-72nd-Pl-S-Tulsa-OK-74133/22131416_zpid/,-95.90365,2.0,2.0,0.0,0.0,1970.0,18687.24,2.0,Duplex,"6601 E 72nd Pl S,Tulsa,OK"
20,22131419,310000,2,2730,36.05876,7214 S 66th East Ave,74133,https://www.zillow.com/homedetails/7214-S-66th-East-Ave-Tulsa-OK-74133/22131419_zpid/,-95.90386,2.0,0.0,0.0,0.0,1970.0,7013.16,1.0,Duplex,"7214 S 66th East Ave,Tulsa,OK"
21,22110752,225000,2,1679,36.114304,5807 E 35th St,74135,https://www.zillow.com/homedetails/5807-E-35th-St-Tulsa-OK-74135/22110752_zpid/,-95.912476,1.0,0.0,0.0,0.0,1965.0,8276.4,1.0,Duplex,"5807 E 35th St,Tulsa,OK"
22,347530874,255000,4,2072,36.148758,1005 S Quincy Ave,74120,https://www.zillow.com/homedetails/1005-S-Quincy-Ave-Tulsa-OK-74120/347530874_zpid/,-95.97317,2.0,0.0,0.0,0.0,1936.0,18077.4,1.0,Duplex,"1005 S Quincy Ave,Tulsa,OK"
23,22177948,381000,3,3008,36.142643,1325 S Elwood Ave,74119,https://www.zillow.com/homedetails/1325-S-Elwood-Ave-Tulsa-OK-74119/22177948_zpid/,-95.99323,2.0,0.0,0.0,0.0,1938.0,8581.32,2.0,Duplex,"1325 S Elwood Ave,Tulsa,OK"
24,22133712,180000,3,1846,36.146297,1148 S 73rd East Ave,74112,https://www.zillow.com/homedetails/1148-S-73rd-East-Ave-Tulsa-OK-74112/22133712_zpid/,-95.896,1.0,0.0,0.0,0.0,1968.0,6664.68,1.0,Duplex,"1148 S 73rd East Ave,Tulsa,OK"
25,22173333,172500,3,1330,36.14222,1402 S Jamestown Ave,74112,https://www.zillow.com/homedetails/1402-S-Jamestown-Ave-Tulsa-OK-74112/22173333_zpid/,-95.93847,0.0,0.0,0.0,0.0,1935.0,17772.48,1.0,Duplex,"1402 S Jamestown Ave,Tulsa,OK"
26,22146226,186000,3,1545,36.168373,917 N Winston Ave,74115,https://www.zillow.com/homedetails/917-N-Winston-Ave-Tulsa-OK-74115/22146226_zpid/,-95.92287,2.0,0.0,0.0,0.0,1942.0,13939.2,1.0,Duplex,"917 N Winston Ave,Tulsa,OK"
27,22175810,335000,5,1708,36.145863,1204 S Zunis Ave,74104,https://www.zillow.com/homedetails/1204-S-Zunis-Ave-Tulsa-OK-74104/22175810_zpid/,-95.96115,2.0,0.0,0.0,0.0,1950.0,96964.56,1.0,Duplex,"1204 S Zunis Ave,Tulsa,OK"
28,344772550,335000,6,1708,36.145863,1204 S Zunis Ave E,74104,https://www.zillow.com/homedetails/1204-S-Zunis-Ave-E-Tulsa-OK-74104/344772550_zpid/,-95.96115,2.0,0.0,0.0,0.0,1950.0,15115.32,2.0,Duplex,"1204 S Zunis Ave E,Tulsa,OK"
29,22164290,337000,2,3136,36.062893,6901 S 78th East Ave,74133,https://www.zillow.com/homedetails/6901-S-78th-East-Ave-Tulsa-OK-74133/22164290_zpid/,-95.89001,3.0,0.0,0.0,0.0,1983.0,8581.32,2.0,Duplex,"6901 S 78th East Ave,Tulsa,OK"
30,22164291,347000,1,3329,36.06314,6835 S 78th East Ave,74133,https://www.zillow.com/homedetails/6835-S-78th-East-Ave-Tulsa-OK-74133/22164291_zpid/,-95.89001,4.0,0.0,0.0,0.0,1983.0,7013.16,2.0,Duplex,"6835 S 78th East Ave,Tulsa,OK"
31,22108783,128000,5,982,36.140625,11027 E 15th St,74128,https://www.zillow.com/homedetails/11027-E-15th-St-Tulsa-OK-74128/22108783_zpid/,-95.852684,1.0,0.0,0.0,0.0,1975.0,8537.76,1.0,Duplex,"11027 E 15th St,Tulsa,OK"
32,22276869,60500,5,2235,36.115253,3237 S Hudson Ave,74135,https://www.zillow.com/homedetails/3237-S-Hudson-Ave-Tulsa-OK-74135/22276869_zpid/,-95.9133,0.0,0.0,0.0,0.0,1969.0,13982.76,1.0,Duplex,"3237 S Hudson Ave,Tulsa,OK"
33,22115699,25000,3,1092,36.172016,1241 N 76th Ave E,74115,https://www.zillow.com/homedetails/1241-N-76th-Ave-E-Tulsa-OK-74115/22115699_zpid/,-95.89126,0.0,0.0,0.0,0.0,1954.0,7492.32,1.0,Duplex,"1241 N 76th Ave E,Tulsa,OK"
34,22164251,377000,4,1899,36.064926,6748 S 78th East Ave,74133,https://www.zillow.com/homedetails/6748-S-78th-East-Ave-Tulsa-OK-74133/22164251_zpid/,-95.890594,2.0,1.0,0.0,0.0,1983.0,12545.28,2.0,Duplex,"6748 S 78th East Ave,Tulsa,OK"
35,349763933,34000,2,912,36.09956,4337 S 30th West Ave,74107,https://www.zillow.com/homedetails/4337-S-30th-West-Ave-Tulsa-OK-74107/349763933_zpid/,-96.02529,1.0,0.0,0.0,0.0,1983.0,10585.08,1.0,Duplex,"4337 S 30th West Ave,Tulsa,OK"
36,22164285,435000,6,4254,36.061447,7013 S 78th East Ave,74133,https://www.zillow.com/homedetails/7013-S-78th-East-Ave-Tulsa-OK-74133/22164285_zpid/,-95.89004,4.0,0.0,0.0,0.0,1982.0,12545.28,2.0,Duplex,"7013 S 78th East Ave,Tulsa,OK"
37,22116558,260000,2,1008,36.148796,1001 S Quincy Ave,74120,https://www.zillow.com/homedetails/1001-S-Quincy-Ave-Tulsa-OK-74120/22116558_zpid/,-95.97305,0.0,0.0,0.0,0.0,1936.0,9191.16,1.0,Duplex,"1001 S Quincy Ave,Tulsa,OK"
38,22114555,205000,3,1590,36.15695,2743 E 3rd St,74104,https://www.zillow.com/homedetails/2743-E-3rd-St-Tulsa-OK-74104/22114555_zpid/,-95.94954,1.0,0.0,0.0,0.0,1950.0,10454.4,1.0,Duplex,"2743 E 3rd St,Tulsa,OK"
39,22147503,235000,3,3136,36.11639,3227 S Allegheny Ave,74135,https://www.zillow.com/homedetails/3227-S-Allegheny-Ave-Tulsa-OK-74135/22147503_zpid/,-95.9212,2.0,1.0,0.0,0.0,1979.0,20168.28,2.0,Duplex,"3227 S Allegheny Ave,Tulsa,OK"
41,343046954,260000,2,2072,36.148884,1001 S Quincy Ave E,74120,https://www.zillow.com/homedetails/1001-S-Quincy-Ave-E-Tulsa-OK-74120/343046954_zpid/,-95.97317,2.0,0.0,0.0,0.0,1936.0,6185.52,1.0,Duplex,"1001 S Quincy Ave E,Tulsa,OK"
42,350262091,125000,2,982,36.14044,1502 S 108th East Pl,74128,https://www.zillow.com/homedetails/1502-S-108th-East-Pl-Tulsa-OK-74128/350262091_zpid/,-95.85547,1.0,0.0,0.0,0.0,1977.0,17511.12,1.0,Duplex,"1502 S 108th East Pl,Tulsa,OK"
43,22102125,275000,2,1348,36.142036,1410 S Quincy Ave,74120,https://www.zillow.com/homedetails/1410-S-Quincy-Ave-Tulsa-OK-74120/22102125_zpid/,-95.97363,2.0,0.0,0.0,0.0,1930.0,27007.2,1.0,Duplex,"1410 S Quincy Ave,Tulsa,OK"
44,340023520,80000,3,982,36.140053,10833 E 15th Pl S,74128,https://www.zillow.com/homedetails/10833-E-15th-Pl-S-Tulsa-OK-74128/340023520_zpid/,-95.85422,1.0,0.0,0.0,0.0,1975.0,8842.68,1.0,Duplex,"10833 E 15th Pl S,Tulsa,OK"
45,22123562,529000,4,3762,36.077354,3422 E 59th St S,74135,https://www.zillow.com/homedetails/3422-E-59th-St-S-Tulsa-OK-74135/22123562_zpid/,-95.93766,3.0,1.0,0.0,0.0,1982.0,7753.68,1.0,Duplex,"3422 E 59th St S,Tulsa,OK"
46,22236496,309000,4,2451,36.106995,12704 E 39th St,74146,https://www.zillow.com/homedetails/12704-E-39th-St-Tulsa-OK-74146/22236496_zpid/,-95.836655,4.0,0.0,0.0,0.0,1975.0,15289.56,1.0,Duplex,"12704 E 39th St,Tulsa,OK"
47,22140389,170000,3,1512,36.171227,1048 N Irvington Ave,74115,https://www.zillow.com/homedetails/1048-N-Irvington-Ave-Tulsa-OK-74115/22140389_zpid/,-95.91318,2.0,0.0,0.0,0.0,1965.0,58413.96,1.0,Duplex,"1048 N Irvington Ave,Tulsa,OK"
48,22140397,160000,6,1512,36.174744,1324 N Irvington Ave,74115,https://www.zillow.com/homedetails/1324-N-Irvington-Ave-Tulsa-OK-74115/22140397_zpid/,-95.91318,0.0,0.0,0.0,0.0,1965.0,9016.92,1.0,Duplex,"1324 N Irvington Ave,Tulsa,OK"
49,2053892150,220000,3,1992,36.055668,7445 S Atlanta Ave E,74136,https://www.zillow.com/homedetails/7445-S-Atlanta-Ave-E-Tulsa-OK-74136/2053892150_zpid/,-95.955055,2.0,1.0,0.0,0.0,1978.0,3789.72,1.0,Duplex,"7445 S Atlanta Ave E,Tulsa,OK"
50,22236012,225000,2,2268,36.11611,9766 E 33rd St,74146,https://www.zillow.com/homedetails/9766-E-33rd-St-Tulsa-OK-74146/22236012_zpid/,-95.86593,4.0,0.0,0.0,0.0,1974.0,10497.96,1.0,Duplex,"9766 E 33rd St,Tulsa,OK"
51,22108935,102000,4,1220,36.141953,1415 S 112th East Ave,74128,https://www.zillow.com/homedetails/1415-S-112th-East-Ave-Tulsa-OK-74128/22108935_zpid/,-95.85146,2.0,0.0,0.0,0.0,1982.0,10280.16,1.0,Duplex,"1415 S 112th East Ave,Tulsa,OK"
52,22131421,225000,3,2202,36.05878,6713 E 73rd St,74133,https://www.zillow.com/homedetails/6713-E-73rd-St-Tulsa-OK-74133/22131421_zpid/,-95.90251,0.0,0.0,0.0,0.0,1970.0,18687.24,1.0,Duplex,"6713 E 73rd St,Tulsa,OK"
53,345024440,225000,4,2202,36.058807,6713 E 73rd St S,74133,https://www.zillow.com/homedetails/6713-E-73rd-St-S-Tulsa-OK-74133/345024440_zpid/,-95.90253,4.0,0.0,0.0,0.0,1970.0,7013.16,1.0,Duplex,"6713 E 73rd St S,Tulsa,OK"
54,347673462,340000,2,2046,36.132973,3134 E 21st St S,74114,https://www.zillow.com/homedetails/3134-E-21st-St-S-Tulsa-OK-74114/347673462_zpid/,-95.94331,2.0,0.0,0.0,0.0,1958.0,8276.4,1.0,Duplex,"3134 E 21st St S,Tulsa,OK"
55,348428953,310000,2,1246,36.05928,7204 S 66th East Ave,74133,https://www.zillow.com/homedetails/7204-S-66th-East-Ave-Tulsa-OK-74133/348428953_zpid/,-95.9039,1.0,1.0,0.0,0.0,1970.0,18077.4,2.0,Duplex,"7204 S 66th East Ave,Tulsa,OK"
56,2054147658,187000,2,4618,36.15376,3 N Phoenix Ave #1,74127,https://www.zillow.com/homedetails/3-N-Phoenix-Ave-1-Tulsa-OK-74127/2054147658_zpid/,-96.00518,3.0,0.0,0.0,0.0,1970.0,8581.32,2.0,Duplex,"3 N Phoenix Ave #1,Tulsa,OK"
57,2054436377,315000,2,1918,36.174114,1323 N Cheyenne Ave #A,74106,https://www.zillow.com/homedetails/1323-N-Cheyenne-Ave-A-Tulsa-OK-74106/2054436377_zpid/,-95.99766,4.0,0.0,0.0,0.0,1930.0,6664.68,1.0,Duplex,"1323 N Cheyenne Ave #A,Tulsa,OK"
59,22098889,80000,1,1602,36.056988,517 S Xanthus Ave,74104,https://www.zillow.com/homedetails/517-S-Xanthus-Ave-Tulsa-OK-74104/22098889_zpid/,-95.96309,0.0,0.0,0.0,0.0,1930.0,13939.2,1.0,Duplex,"517 S Xanthus Ave,Tulsa,OK"
60,22226328,235000,3,1940,36.09704,7409 S Atlanta Ave,74136,https://www.zillow.com/homedetails/7409-S-Atlanta-Ave-Tulsa-OK-74136/22226328_zpid/,-95.95513,2.0,0.0,0.0,0.0,1977.0,96964.56,1.0,Duplex,"7409 S Atlanta Ave,Tulsa,OK"
61,22108628,260000,3,2624,36.139694,1331 E 46th St S,74105,https://www.zillow.com/homedetails/1331-E-46th-St-S-Tulsa-OK-74105/22108628_zpid/,-95.97446,0.0,0.0,0.0,0.0,1960.0,15115.32,1.0,Duplex,"1331 E 46th St S,Tulsa,OK"
62,347197637,35000,4,982,36.11639,1534 S 108th East Pl,74128,https://www.zillow.com/homedetails/1534-S-108th-East-Pl-Tulsa-OK-74128/347197637_zpid/,-95.854774,2.0,0.0,0.0,0.0,1977.0,8581.32,1.0,Duplex,"1534 S 108th East Pl,Tulsa,OK"
63,2061119129,165000,2,1540,36.096848,4606 S Granite Ave UNIT C-2,74135,https://www.zillow.com/homedetails/4606-S-Granite-Ave-UNIT-C-2-Tulsa-OK-74135/2061119129_zpid/,-95.91417,2.0,1.0,0.0,0.0,1978.0,7492.32,2.0,Townhomes,"4606 S Granite Ave UNIT C-2,Tulsa,OK"
64,22148928,215000,2,1643,36.144604,1223 S Lawton Ave,74127,https://www.zillow.com/homedetails/1223-S-Lawton-Ave-Tulsa-OK-74127/22148928_zpid/,-96.00092,0.0,0.0,0.0,0.0,1982.0,12545.28,1.0,Townhomes,"1223 S Lawton Ave,Tulsa,OK"
65,22148989,132500,2,1048,36.143993,1303 S Lawton Ave #A-3,74127,https://www.zillow.com/homedetails/1303-S-Lawton-Ave-A-3-Tulsa-OK-74127/22148989_zpid/,-96.00115,0.0,0.0,0.0,0.0,1982.0,10585.08,1.0,Townhomes,"1303 S Lawton Ave #A-3,Tulsa,OK"
66,22124323,222000,3,1762,36.05849,5743 E 72nd Pl,74136,https://www.zillow.com/homedetails/5743-E-72nd-Pl-Tulsa-OK-74136/22124323_zpid/,-95.91189,0.0,0.0,0.0,0.0,1984.0,12545.28,1.0,Townhomes,"5743 E 72nd Pl,Tulsa,OK"
67,22112039,240000,2,1173,36.068325,1826 E 66th St S,74136,https://www.zillow.com/homedetails/1826-E-66th-St-S-Tulsa-OK-74136/22112039_zpid/,-95.96403,0.0,0.0,0.0,0.0,1980.0,9191.16,1.0,Townhomes,"1826 E 66th St S,Tulsa,OK"
68,89341843,645000,2,2921,36.11235,1330 E 35th Pl,74105,https://www.zillow.com/homedetails/1330-E-35th-Pl-Tulsa-OK-74105/89341843_zpid/,-95.9744,2.0,1.0,0.0,0.0,2008.0,10454.4,3.0,Townhomes,"1330 E 35th Pl,Tulsa,OK"
69,352623655,142000,2,1200,36.034046,2851 E 90th St #6,74137,https://www.zillow.com/homedetails/2851-E-90th-St-6-Tulsa-OK-74137/352623655_zpid/,-95.947495,2.0,0.0,0.0,0.0,1983.0,20168.28,2.0,Townhomes,"2851 E 90th St #6,Tulsa,OK"
70,2078607862,222000,2,1762,36.058487,5743 E 72nd Pl #11,74136,https://www.zillow.com/homedetails/5743-E-72nd-Pl-11-Tulsa-OK-74136/2078607862_zpid/,-95.91192,2.0,1.0,0.0,0.0,1984.0,34543.08,4.0,Townhomes,"5743 E 72nd Pl #11,Tulsa,OK"
71,22108778,82000,2,982,36.14063,11007 E 15th St,74128,https://www.zillow.com/homedetails/11007-E-15th-St-Tulsa-OK-74128/22108778_zpid/,-95.924545,1.0,0.0,0.0,0.0,,6185.52,1.0,Townhomes,"11007 E 15th St,Tulsa,OK"
72,22105970,170000,2,2241,36.09452,4822 S Quaker Ave,74105,https://www.zillow.com/homedetails/4822-S-Quaker-Ave-Tulsa-OK-74105/22105970_zpid/,-95.97382,2.0,1.0,0.0,0.0,1982.0,17511.12,3.0,Townhomes,"4822 S Quaker Ave,Tulsa,OK"
73,89347384,350000,2,1592,36.103664,1343 E 41st Pl,74105,https://www.zillow.com/homedetails/1343-E-41st-Pl-Tulsa-OK-74105/89347384_zpid/,-95.97383,2.0,0.0,0.0,0.0,2008.0,27007.2,1.0,Townhomes,"1343 E 41st Pl,Tulsa,OK"
74,22108901,52500,3,982,36.13928,10928 E 16th St,74128,https://www.zillow.com/homedetails/10928-E-16th-St-Tulsa-OK-74128/22108901_zpid/,-95.853905,1.0,0.0,0.0,0.0,1977.0,8842.68,1.0,Townhomes,"10928 E 16th St,Tulsa,OK"
75,22113135,450000,2,1760,36.135487,1817 S Carson Ave,74119,https://www.zillow.com/homedetails/1817-S-Carson-Ave-Tulsa-OK-74119/22113135_zpid/,-95.99097,2.0,1.0,0.0,0.0,1974.0,7753.68,2.0,Townhomes,"1817 S Carson Ave,Tulsa,OK"
76,22105969,231500,2,1604,36.09452,4824 S Quaker Ave,74105,https://www.zillow.com/homedetails/4824-S-Quaker-Ave-Tulsa-OK-74105/22105969_zpid/,-95.97391,2.0,1.0,0.0,0.0,1982.0,15289.56,2.0,Townhomes,"4824 S Quaker Ave,Tulsa,OK"
77,22235471,260000,5,1370,36.045803,8119 S 84th Ave E,74133,https://www.zillow.com/homedetails/8119-S-84th-Ave-E-Tulsa-OK-74133/22235471_zpid/,-95.88228,2.0,0.0,0.0,0.0,1997.0,58413.96,1.0,Townhomes,"8119 S 84th Ave E,Tulsa,OK"
78,22225690,245000,3,2044,36.054478,7439 S Winston Pl,74136,https://www.zillow.com/homedetails/7439-S-Winston-Pl-Tulsa-OK-74136/22225690_zpid/,-95.923,2.0,1.0,0.0,0.0,1977.0,9016.92,3.0,Townhomes,"7439 S Winston Pl,Tulsa,OK"
79,22124332,185000,2,1909,36.057987,5715 E 72nd Ct,74136,https://www.zillow.com/homedetails/5715-E-72nd-Ct-Tulsa-OK-74136/22124332_zpid/,-95.91269,2.0,0.0,0.0,0.0,1985.0,3789.72,3.0,Townhomes,"5715 E 72nd Ct,Tulsa,OK"
80,22168901,42000,3,800,36.06763,2201 E 66th Pl #7B,74136,https://www.zillow.com/homedetails/2201-E-66th-Pl-7B-Tulsa-OK-74136/22168901_zpid/,-95.96026,0.0,0.0,0.0,0.0,1977.0,10497.96,1.0,Townhomes,"2201 E 66th Pl #7B,Tulsa,OK"
81,22155156,170000,3,1315,36.0779,5903 S Quincy Ave,74105,https://www.zillow.com/homedetails/5903-S-Quincy-Ave-Tulsa-OK-74105/22155156_zpid/,-95.97321,2.0,0.0,0.0,0.0,1984.0,10280.16,2.0,Townhomes,"5903 S Quincy Ave,Tulsa,OK"
82,22108836,50000,2,1436,36.13979,10818 E 15th Pl,74128,https://www.zillow.com/homedetails/10818-E-15th-Pl-Tulsa-OK-74128/22108836_zpid/,-95.85465,2.0,0.0,0.0,0.0,,18687.24,1.0,Townhomes,"10818 E 15th Pl,Tulsa,OK"
83,22148919,170000,3,1643,36.144604,767 W 13th St #13,74127,https://www.zillow.com/homedetails/767-W-13th-St-13-Tulsa-OK-74127/22148919_zpid/,-96.00092,0.0,0.0,0.0,0.0,1982.0,7013.16,1.0,Townhomes,"767 W 13th St #13,Tulsa,OK"
84,22167686,26000,2,978,36.095383,4646 S Darlington Ave APT 18,74135,https://www.zillow.com/homedetails/4646-S-Darlington-Ave-APT-18-Tulsa-OK-74135/22167686_zpid/,-95.91808,0.0,0.0,0.0,0.0,1978.0,8276.4,1.0,Townhomes,"4646 S Darlington Ave APT 18,Tulsa,OK"
85,22164250,377000,3,1695,36.06503,6746 S 78th East Ave,74133,https://www.zillow.com/homedetails/6746-S-78th-East-Ave-Tulsa-OK-74133/22164250_zpid/,-95.89061,0.0,0.0,0.0,0.0,1983.0,18077.4,1.0,Townhomes,"6746 S 78th East Ave,Tulsa,OK"
86,22112326,237000,2,1700,36.088608,5128 S Columbia Ct,74105,https://www.zillow.com/homedetails/5128-S-Columbia-Ct-Tulsa-OK-74105/22112326_zpid/,-95.9499,2.0,1.0,0.0,0.0,1984.0,8581.32,2.0,Townhomes,"5128 S Columbia Ct,Tulsa,OK"
87,22110892,270000,2,1123,36.141113,611 W 15th St,74127,https://www.zillow.com/homedetails/611-W-15th-St-Tulsa-OK-74127/22110892_zpid/,-95.99651,0.0,0.0,0.0,0.0,1950.0,6664.68,1.0,Townhomes,"611 W 15th St,Tulsa,OK"
88,22149070,124000,1,1177,36.14712,1129 S 110th Ave E #14-2C,74128,https://www.zillow.com/homedetails/1129-S-110th-Ave-E-14-2C-Tulsa-OK-74128/22149070_zpid/,-95.854774,1.0,1.0,0.0,0.0,1973.0,17772.48,2.0,Townhomes,"1129 S 110th Ave E #14-2C,Tulsa,OK"
89,22177442,85500,3,954,36.073673,6152 S Madison Pl #6152-A,74136,https://www.zillow.com/homedetails/6152-S-Madison-Pl-6152-A-Tulsa-OK-74136/22177442_zpid/,-95.98,1.0,1.0,0.0,0.0,1968.0,13939.2,1.0,Townhomes,"6152 S Madison Pl #6152-A,Tulsa,OK"
90,22189997,450000,2,1008,36.080017,5705 S Vancouver Ave,74107,https://www.zillow.com/homedetails/5705-S-Vancouver-Ave-Tulsa-OK-74107/22189997_zpid/,-96.01201,0.0,0.0,0.0,0.0,1984.0,96964.56,1.0,Townhomes,"5705 S Vancouver Ave,Tulsa,OK"
91,348805448,119000,2,1177,36.141914,1320 S 110th East Ave #53-2C,74128,https://www.zillow.com/homedetails/1320-S-110th-East-Ave-53-2C-Tulsa-OK-74128/348805448_zpid/,-95.853905,2.0,0.0,0.0,0.0,1979.0,15115.32,2.0,Townhomes,"1320 S 110th East Ave #53-2C,Tulsa,OK"
92,22219855,138000,3,1220,36.034046,2835 E 90th St #518,74137,https://www.zillow.com/homedetails/2835-E-90th-St-518-Tulsa-OK-74137/22219855_zpid/,-95.947495,2.0,0.0,0.0,0.0,1983.0,8581.32,1.0,Townhomes,"2835 E 90th St #518,Tulsa,OK"
93,22155840,145000,2,1340,36.096603,5524 E 46th St S,74135,https://www.zillow.com/homedetails/5524-E-46th-St-S-Tulsa-OK-74135/22155840_zpid/,-95.91493,0.0,0.0,0.0,0.0,1965.0,7013.16,1.0,Townhomes,"5524 E 46th St S,Tulsa,OK"
94,22191893,115000,1,688,36.10427,4124 W 41st St,74107,https://www.zillow.com/homedetails/4124-W-41st-St-Tulsa-OK-74107/22191893_zpid/,-96.0393,1.0,0.0,0.0,0.0,1925.0,7492.32,1.0,SingleFamily,"4124 W 41st St,Tulsa,OK"
95,22108044,82000,1,564,36.09626,4625 S 26th West Ave,74107,https://www.zillow.com/homedetails/4625-S-26th-West-Ave-Tulsa-OK-74107/22108044_zpid/,-96.02145,1.0,0.0,0.0,0.0,1946.0,12545.28,1.0,SingleFamily,"4625 S 26th West Ave,Tulsa,OK"
96,333520003,86500,1,576,36.163143,119 N Atlanta Pl,74110,https://www.zillow.com/homedetails/119-N-Atlanta-Pl-Tulsa-OK-74110/333520003_zpid/,-95.95433,1.0,0.0,0.0,0.0,1918.0,10585.08,1.0,SingleFamily,"119 N Atlanta Pl,Tulsa,OK"
