,zpid,price,bedrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,full_bathroom,half_bathroom,quarter_bathroom,three_quarter_bathroom,year_built,lot_area,stories,home_type,full_address
1261,22148738,71000,3,966,36.222847,4661 N Trenton Ave,74126,https://www.zillow.com/homedetails/4661-N-Trenton-Ave-Tulsa-OK-74126/22148738_zpid/,-95.96895,1.0,0.0,0.0,0.0,1956.0,15115.32,1.0,SingleFamily,"4661 N Trenton Ave,Tulsa,OK"
1262,22166930,140000,3,2200,36.14648,1136 S Evanston Ave,74104,https://www.zillow.com/homedetails/1136-S-Evanston-Ave-Tulsa-OK-74104/22166930_zpid/,-95.94771,3.0,0.0,0.0,0.0,1940.0,8581.32,1.0,SingleFamily,"1136 S Evanston Ave,Tulsa,OK"
1263,22187170,175000,3,1494,36.119896,3014 S 121st Ave E,74129,https://www.zillow.com/homedetails/3014-S-121st-Ave-E-Tulsa-OK-74129/22187170_zpid/,-95.84202,2.0,0.0,0.0,0.0,1983.0,7013.16,1.0,SingleFamily,"3014 S 121st Ave E,Tulsa,OK"
1264,2067199275,175000,3,1766,36.12699,2489 S 128th East Ave,74129,https://www.zillow.com/homedetails/2489-S-128th-East-Ave-Tulsa-OK-74129/2067199275_zpid/,-95.83368,1.0,0.0,0.0,0.0,1966.0,8537.76,1.0,SingleFamily,"2489 S 128th East Ave,Tulsa,OK"
1265,22120210,195000,3,1204,36.16547,705 N Oxford Ave,74115,https://www.zillow.com/homedetails/705-N-Oxford-Ave-Tulsa-OK-74115/22120210_zpid/,-95.90559,2.0,0.0,0.0,0.0,1949.0,13982.76,1.0,SingleFamily,"705 N Oxford Ave,Tulsa,OK"
1266,22122954,175000,3,1000,36.134186,5810 E 20th St,74112,https://www.zillow.com/homedetails/5810-E-20th-St-Tulsa-OK-74112/22122954_zpid/,-95.911575,1.0,0.0,0.0,0.0,1955.0,7884.36,1.0,SingleFamily,"5810 E 20th St,Tulsa,OK"
1267,22175409,170000,3,1458,36.123177,12923 E 28th Pl S,74134,https://www.zillow.com/homedetails/12923-E-28th-Pl-S-Tulsa-OK-74134/22175409_zpid/,-95.83231,2.0,1.0,0.0,0.0,1981.0,8842.68,2.0,SingleFamily,"12923 E 28th Pl S,Tulsa,OK"
1268,22180580,100000,3,1345,36.227535,307 W 50th Ct N,74126,https://www.zillow.com/homedetails/307-W-50th-Ct-N-Tulsa-OK-74126/22180580_zpid/,-96.000175,1.0,0.0,0.0,0.0,1956.0,9104.04,1.0,SingleFamily,"307 W 50th Ct N,Tulsa,OK"
1269,347397615,155000,3,1672,36.123096,10918 E 28th Pl S,74129,https://www.zillow.com/homedetails/10918-E-28th-Pl-S-Tulsa-OK-74129/347397615_zpid/,-95.85628,2.0,0.0,0.0,0.0,1970.0,11717.639999999998,1.0,SingleFamily,"10918 E 28th Pl S,Tulsa,OK"
1270,348746755,74500,3,1360,36.15693,157 S 108th East Ave,74128,https://www.zillow.com/homedetails/157-S-108th-East-Ave-Tulsa-OK-74128/348746755_zpid/,-95.8427,2.0,0.0,0.0,0.0,1955.0,2178.0,1.0,SingleFamily,"157 S 108th East Ave,Tulsa,OK"
